 2025-09-29 13:36 	 AB5SS 	 28.126067 	 -21 	 3 	 GP51 	 20 	 CT1HMN 	 IM58nn 	 3735 	 114 	 W-2 
 2025-09-29 13:36 	 KC2LFA 	 28.126052 	 -22 	 0 	 FN21 	 0.2 	 KQ2Y 	 FN31gn 	 132 	 85 	 W-2 
 2025-09-29 13:36 	 YM2XBL 	 28.126135 	 -22 	 0 	 KN41 	 0.2 	 G8CQX 	 IO81xu 	 2605 	 307 	 W-2 
 2025-09-29 13:36 	 PA2REH 	 28.126051 	 -18 	 -2 	 JO22fe 	 0.05 	 KQ2Y 	 FN31gn 	 5746 	 291 	 W-2 
 2025-09-29 13:36 	 SM4TIW 	 28.126101 	 -19 	 0 	 JO79 	 0.2 	 G8CQX 	 IO81xu 	 1356 	 239 	 W-2 
 2025-09-29 13:36 	 SR7TWA 	 28.126053 	 -9 	 -2 	 JO91 	 0.2 	 CT1HMN 	 IM58nn 	 2592 	 247 	 W-2 
 2025-09-29 13:36 	 OE5UKL 	 28.125990 	 -20 	 0 	 JN68 	 0.1 	 KQ2Y 	 FN31gn 	 6466 	 298 	 W-2 
 2025-09-29 13:36 	 G0EIY 	 28.126138 	 -19 	 0 	 IO82or 	 0.2 	 OZ7IT 	 JO65df 	 1022 	 68 	 W-2 
 2025-09-29 13:36 	 YM2XBL 	 28.126104 	 -21 	 0 	 KN41 	 0.2 	 G4OGI 	 JO01mg 	 2383 	 307 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126102 	 -21 	 0 	 JO50cb 	 1 	 DL4YCC 	 JO41hs 	 220 	 330 	 W-2 
 2025-09-29 13:36 	 YM2XBL 	 28.126115 	 -18 	 0 	 KN41 	 0.2 	 N0CALL 	 JN06em 	 2340 	 294 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126101 	 -24 	 0 	 JO50cb 	 1 	 OZ7IT 	 JO65df 	 591 	 13 	 W-2 
 2025-09-29 13:36 	 SM4TIW 	 28.126070 	 -20 	 0 	 JO79 	 0.2 	 G4OGI 	 JO01mg 	 1263 	 230 	 W-2 
 2025-09-29 13:36 	 OE5UKL 	 28.125992 	 -10 	 0 	 JN68 	 0.1 	 CT1HMN 	 IM58nn 	 2066 	 246 	 W-2 
 2025-09-29 13:36 	 PY2LSB 	 28.126085 	 -23 	 0 	 GG77je 	 1 	 OZ7IT 	 JO65df 	 10237 	 29 	 W-2 
 2025-09-29 13:36 	 PY2LSB 	 28.126087 	 -23 	 0 	 GG77je 	 1 	 DL4YCC 	 JO41hs 	 9803 	 30 	 W-2 
 2025-09-29 13:36 	 SM4TIW 	 28.126083 	 -22 	 0 	 JO79 	 0.2 	 IT9JFW 	 JM68qd 	 2375 	 183 	 W-2 
 2025-09-29 13:36 	 W2MV 	 28.126036 	 -18 	 0 	 FN31 	 0.2 	 OZ7IT 	 JO65df 	 6075 	 44 	 W-2 
 2025-09-29 13:36 	 PY2LSB 	 28.126086 	 -25 	 0 	 GG77je 	 1 	 SM2KOT 	 JP95hb 	 11162 	 23 	 W-2 
 2025-09-29 13:36 	 G6FDN 	 28.125992 	 -20 	 0 	 IO82 	 0.2 	 OZ7IT 	 JO65df 	 1049 	 67 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126114 	 -17 	 0 	 JO50cb 	 1 	 DL4XU 	 JN59ec 	 107 	 174 	 W-2 
 2025-09-29 13:36 	 YM2XBL 	 28.126082 	 -14 	 0 	 KN41 	 0.2 	 G7PUV 	 JO00au 	 2438 	 305 	 W-2 
 2025-09-29 13:36 	 EA6EE 	 28.126035 	 -15 	 0 	 JM19hn 	 0.2 	 SM2KOT 	 JP95hb 	 3016 	 15 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126077 	 -22 	 0 	 JO50cb 	 1 	 G7PUV 	 JO00au 	 724 	 281 	 W-2 
 2025-09-29 13:36 	 G0EIY 	 28.126211 	 -22 	 0 	 IO82or 	 0.2 	 SA5CHW 	 JO78tn 	 1319 	 53 	 W-2 
